timestamp,origem,cpu_milicores,memoria_mib
1783618759,argocd-server-765575f778-ghm4z,1,46
1783618774,argocd-application-controller-0,3,93
1783618774,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618774,argocd-dex-server-99ff57675-dxbfz,1,18
1783618774,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618774,argocd-redis-6f6867546c-dp4gw,3,5
1783618774,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618774,argocd-server-765575f778-ghm4z,1,46
1783618789,argocd-application-controller-0,3,93
1783618789,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618789,argocd-dex-server-99ff57675-dxbfz,1,18
1783618789,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618789,argocd-redis-6f6867546c-dp4gw,3,5
1783618789,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618789,argocd-server-765575f778-ghm4z,1,46
1783618804,argocd-application-controller-0,3,85
1783618804,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618804,argocd-dex-server-99ff57675-dxbfz,1,18
1783618804,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618804,argocd-redis-6f6867546c-dp4gw,3,5
1783618804,argocd-repo-server-59444f4bbb-clf2r,1,43
1783618804,argocd-server-765575f778-ghm4z,2,37
1783618819,argocd-application-controller-0,12,99
1783618819,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618819,argocd-dex-server-99ff57675-dxbfz,0,18
1783618819,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618819,argocd-redis-6f6867546c-dp4gw,3,5
1783618819,argocd-repo-server-59444f4bbb-clf2r,1,43
1783618819,argocd-server-765575f778-ghm4z,1,37
1783618834,argocd-application-controller-0,3,99
1783618834,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618834,argocd-dex-server-99ff57675-dxbfz,0,18
1783618834,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618834,argocd-redis-6f6867546c-dp4gw,4,5
1783618834,argocd-repo-server-59444f4bbb-clf2r,1,43
1783618834,argocd-server-765575f778-ghm4z,1,37
1783618849,argocd-application-controller-0,2,99
1783618849,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618849,argocd-dex-server-99ff57675-dxbfz,1,18
1783618849,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618849,argocd-redis-6f6867546c-dp4gw,3,5
1783618849,argocd-repo-server-59444f4bbb-clf2r,1,43
1783618849,argocd-server-765575f778-ghm4z,1,37
1783618864,argocd-application-controller-0,41,128
1783618864,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618864,argocd-dex-server-99ff57675-dxbfz,1,18
